AAPL,MSI,SBUX,SMA_AAPL,SMA_MSI,SMA_SBUX,EMA_AAPL,EMA_MSI,EMA_SBUX,RSI_AAPL,RSI_MSI,RSI_SBUX
67.8542,60.3,28.185,,,,,,,,,
68.5614,60.9,28.07,,,,,,,,,
66.8428,60.83,28.13,,,,,,,,,
66.7156,60.81,27.915,,,,,,,,,
66.6556,61.12,27.775,,,,,,,,,
65.7371,61.43,27.17,,,,,,,,,
65.7128,62.03,27.225,,,,,,,,,
64.1214,61.26,26.655,,,,,,,,,
63.7228,60.88,26.675,,,,,,,,,
64.4014,61.9,27.085,,,,,,,,,
63.2571,60.28,26.605,,,,,,,,,
64.1385,60.63,26.64,,,,,,,,,
63.5099,62.09,27.285,,,,,,,,,
63.0571,62.21,27.425,65.30626428571429,61.190714285714286,27.345714285714287,65.30626428571429,61.190714285714286,27.345714285714287,,,
61.4957,62.03,27.435,64.85208571428572,61.31428571428571,27.29214285714286,64.79818904761905,61.30261904761905,27.35761904761905,20.81355745485584,61.075544174135764,39.28571428571426
60.0071,62.5,27.85,64.24106428571429,61.42857142857143,27.276428571428575,64.15937717460318,61.46226984126984,27.423269841269843,18.143394721144716,63.444639718804964,46.16059247710002
61.5919,62.97,28.255,63.866,61.58142857142857,27.285357142857148,63.81704688465609,61.663300529100525,27.534167195767196,28.63954743925981,65.6932990551234,51.886362722900294
60.8088,63.11,28.55,63.44408571428572,61.74571428571428,27.33071428571429,63.41594730003528,61.85619379188712,27.669611569664905,26.8101695861144,66.3571644811108,55.59108363986416
61.5117,62.64,29.125,63.07666428571429,61.85428571428571,27.42714285714286,63.162047660030574,61.960701286302175,27.86366336037625,31.06643782504419,62.0183058646379,61.77012004543083
61.6742,62.75,29.335,62.786457142857145,61.94857142857143,27.58178571428572,62.9636679720265,62.065941114795216,28.05984157899275,32.05024648360538,62.63410988753757,63.75370295053974
62.5528,62.56,29.305,62.56074285714286,61.98642857142857,27.730357142857144,62.9088855757563,62.13181563282252,28.225862701793716,37.26365380537644,60.80044263174466,63.248824857581184
61.2042,62.13,29.14,62.35237142857143,62.04857142857143,27.907857142857146,62.68159416565546,62.131573548446184,28.347747674887888,33.069554099625584,56.75110943500366,60.414998383567884
61.1928,62.22,29.2925,62.17165714285715,62.144285714285715,28.094821428571432,62.4830882769014,62.14336374198669,28.4737146515695,33.035705299618904,57.390754936190135,62.104948467989374
61.7857,62.34,28.84,61.984821428571436,62.175714285714285,28.220178571428573,62.39010317331454,62.1695819097218,28.522552698026903,36.66656338595465,58.2768191740355,54.64966535583853
63.3799,62.07,28.83,61.993592857142865,62.30357142857144,28.379107142857144,62.52207608353927,62.156304321758896,28.563545671623316,45.2608539297153,55.48122202669548,54.493978284641486
65.1028,61.64,28.465,62.062471428571435,62.375714285714295,28.509464285714284,62.866172605734036,62.087463745524374,28.550406248740206,52.726934799716396,51.26351413734677,49.00623339860197
